Province/State,Country/Region,Lat,Long,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Macau,Macau,22.1667,113.55,2,5,6,7,7,7,7,7,8,8,10,10,10,10
Anhui,Mainland China,31.8257,117.2264,39,60,70,106,152,200,237,297,340,408,480,530,591,665
Beijing,Mainland China,40.1824,116.4142,41,68,80,91,111,114,139,168,191,212,228,253,274,297
Chongqing,Mainland China,30.0572,107.874,57,75,110,132,147,182,211,247,300,337,366,389,411,426
Fujian,Mainland China,26.0789,117.9874,18,35,59,80,84,101,120,144,159,179,194,205,215,224
Gansu,Mainland China,36.0611,103.8343,4,7,14,19,24,26,29,40,51,55,57,62,62,67
Guangdong,Mainland China,23.3417,113.4244,78,111,151,207,277,354,436,535,632,725,813,895,970,1034
Guangxi,Mainland China,23.8298,108.7881,23,36,46,51,58,78,87,100,111,127,139,150,168,172
Guizhou,Mainland China,26.8154,106.8748,4,5,7,9,9,12,29,29,38,46,58,64,71,81
Hainan,Mainland China,19.1959,109.7453,19,22,33,40,43,46,52,62,64,72,80,99,106,117
Hebei,Mainland China,38.0428,114.5149,8,13,18,33,48,65,82,96,104,113,126,135,157,172
Heilongjiang,Mainland China,47.862,127.7615,9,15,21,33,38,44,59,80,95,121,155,190,227,277
Henan,Mainland China,33.88202,113.614,32,83,128,168,206,278,352,422,493,566,675,764,851,914
Hubei,Mainland China,30.9756,112.2707,761,1058,1423,3554,3554,4903,5806,7153,11177,13522,16678,19665,22112,24953
Hunan,Mainland China,27.6104,111.7088,43,69,100,143,221,277,332,389,463,521,593,661,711,772
Inner Mongolia,Mainland China,44.0935,113.9448,7,7,11,15,16,19,20,23,27,34,35,42,46,50
Jiangsu,Mainland China,32.9711,119.455,18,33,47,70,99,129,168,202,236,271,308,341,373,408
Jiangxi,Mainland China,27.614,115.7221,18,36,72,109,109,162,240,286,333,391,476,548,600,661
Jilin,Mainland China,43.6661,126.1923,4,4,6,8,9,14,14,17,23,31,42,54,59,65
Liaoning,Mainland China,41.2956,122.6085,17,21,27,34,39,41,48,64,70,74,81,89,94,99
Ningxia,Mainland China,37.2692,106.1655,3,4,7,11,12,17,21,26,28,31,34,34,40,43
Qinghai,Mainland China,35.7452,95.9956,1,1,6,6,6,8,8,9,11,13,15,17,18,18
Shaanxi,Mainland China,35.1917,108.8701,15,22,35,46,56,63,87,101,116,128,142,165,173,184
Shandong,Mainland China,36.3427,118.1498,27,46,75,95,130,158,184,206,230,259,275,307,347,386
Shanghai,Mainland China,31.202,121.4491,33,40,53,66,96,112,135,169,182,203,219,243,257,277
Shanxi,Mainland China,37.5777,112.2922,6,9,13,27,27,35,39,47,66,74,81,81,96,104
Sichuan,Mainland China,30.6171,102.7103,28,44,69,90,108,142,177,207,231,254,282,301,321,344
Tianjin,Mainland China,39.3054,117.323,10,14,23,24,27,31,32,41,48,60,67,69,79,81
Xinjiang,Mainland China,41.1129,85.2401,3,4,5,10,13,14,17,18,21,24,29,32,36,39
Yunnan,Mainland China,24.974,101.487,11,16,26,44,55,70,83,93,105,117,122,128,133,138
Zhejiang,Mainland China,29.1832,120.0934,62,104,128,173,296,428,538,599,661,724,829,895,954,1006
Taiwan,Taiwan,23.7,121,3,4,5,8,8,9,10,10,10,10,11,11,16,16
Taiwan,Taiwan,23.7,121,3,4,5,8,8,9,10,10,10,10,11,11,16,16
